index,question,answer,source,scene,orig_uid,core_gt_objects,extended_gt_objects,prediction,pred_scene_structured,pred_gender_structured,pred_occupation_structured,pred_action_structured,parse_status
141,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","chair, cup, dining table, person, tv",coco,office,coco_536891,"chair, cup, dining table, person, tv","chair, cup, dining table, person, tv","In the dining room, an unknown child is eating.",dining room,unknown,child,eating,strict_match
142,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","chair, cup, dining table, keyboard, laptop, person, wine glass",coco,office,coco_57542,"chair, cup, dining table, keyboard, laptop, person, wine glass","chair, cup, dining table, keyboard, laptop, person, wine glass","""In the restaurant, an unknown customer is reading a menu.""",restaurant,unknown,customer,reading a menu,loose_match
143,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","keyboard, person, remote, tv",coco,office,coco_85623,"keyboard, person, remote, tv","keyboard, person, remote, tv","In the office, an unknown person is playing a video game.",office,unknown,person,playing a video game,strict_match
144,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","chair, cup, person, tie, tv",coco,office,coco_300811,"chair, cup, person, tie, tv","chair, cup, person, tie, tv","In the classroom, an unknown instructor is giving a presentation.",classroom,unknown,instructor,giving a presentation,strict_match
145,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","laptop, person, tv",coco,office,coco_576672,"laptop, person, tv","laptop, person, tv","""In the unknown, an unknown unknown is holding a spoon towards a laptop screen.""",unknown,unknown,unknown,holding a spoon towards a laptop screen,loose_match
146,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bottle, chair, dining table, laptop, person",coco,office,coco_314190,"bottle, chair, dining table, laptop, person","bottle, chair, dining table, laptop, person","""In the outdoor scene, a male unknown is receiving a laptop.""",outdoor scene,male,unknown,receiving a laptop,loose_match
147,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","chair, cup, dining table, fork, laptop, person, wine glass",coco,office,coco_511328,"chair, cup, dining table, fork, laptop, person, wine glass","chair, cup, dining table, fork, laptop, person, wine glass","""In the restaurant, an unknown unknown is socializing.""",restaurant,unknown,unknown,socializing,loose_match
148,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","chair, hot dog, person",coco,office,coco_63109,"chair, hot dog, person","chair, hot dog, person","In the outdoor scene, an unknown unknown is eating.",outdoor scene,unknown,unknown,eating,strict_match
149,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","person, tie, tv",coco,office,coco_408789,"person, tie, tv","person, tie, tv","""In the unknown, an unknown unknown is speaking.""",unknown,unknown,unknown,speaking,loose_match
150,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","cup, dining table, person, remote, tv",coco,office,coco_213578,"cup, dining table, person, remote, tv","cup, dining table, person, remote, tv","In the unknown scene, two unknown people are playing a video game.",,unknown,,,failed
151,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","book, cat, cell phone, keyboard, mouse, person, tv",coco,office,coco_399899,"book, cat, cell phone, keyboard, mouse, person, tv","book, cat, cell phone, keyboard, mouse, person, tv","In the office, an unknown person is sitting with a cat on their lap.",office,unknown,person,sitting with a cat on their lap,strict_match
152,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bottle, chair, clock, cup, laptop, person",coco,office,coco_244835,"bottle, chair, clock, cup, laptop, person","bottle, chair, clock, cup, laptop, person","""In the meeting room, an unknown unknown is working on a laptop.""",meeting room,unknown,unknown,working on a laptop,loose_match
153,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bottle, cup, laptop, person, tie",coco,office,coco_274499,"bottle, cup, laptop, person, tie","bottle, cup, laptop, person, tie","In the meeting, an unknown unknown is talking.",meeting,unknown,unknown,talking,strict_match
154,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","laptop, person, teddy bear",coco,office,coco_117764,"laptop, person, teddy bear","laptop, person, teddy bear","In the unknown scene, an unknown unknown is using a laptop.",unknown scene,unknown,unknown,using a laptop,strict_match
155,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bottle, dog, keyboard, mouse, person, tv",coco,office,coco_264660,"bottle, dog, keyboard, mouse, person, tv","bottle, dog, keyboard, mouse, person, tv","In the office, an unknown unknown is working.",office,unknown,unknown,working,strict_match
156,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","backpack, bottle, chair, person, remote, tv",coco,office,coco_555144,"backpack, bottle, chair, person, remote, tv","backpack, bottle, chair, person, remote, tv","In the indoor scene, an unknown unknown is playing a virtual tennis game.",indoor scene,unknown,unknown,playing a virtual tennis game,strict_match
157,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","chair, cup, laptop, person, tv",coco,office,coco_87616,"chair, cup, laptop, person, tv","chair, cup, laptop, person, tv","In the office, an unknown person is giving a presentation.",office,unknown,person,giving a presentation,strict_match
158,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bottle, cell phone, chair, cup, dining table, keyboard, laptop, mouse, person, sandwich",coco,office,coco_377570,"bottle, cell phone, chair, cup, dining table, keyboard, laptop, mouse, person, sandwich","bottle, cell phone, chair, cup, dining table, keyboard, laptop, mouse, person, sandwich","In the outdoor scene, an unknown unknown is using a laptop.",outdoor scene,unknown,unknown,using a laptop,strict_match
159,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","chair, person, snowboard",coco,office,coco_368459,"chair, person, snowboard","chair, person, snowboard","""In the snowy scene, an unknown unknown is riding a ski lift.""",snowy scene,unknown,unknown,riding a ski lift,loose_match
160,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","person, remote, tv",coco,office,coco_109816,"person, remote, tv","person, remote, tv","""In the room, an unknown person is playing a video game.""",room,unknown,person,playing a video game,loose_match
161,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bowl, oven, person, sink",coco,kitchen,coco_120044,"bowl, oven, person, sink","bowl, oven, person, sink","In the kitchen, an unknown worker is preparing food.",kitchen,unknown,worker,preparing food,strict_match
162,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","person, pizza",coco,kitchen,coco_161925,"person, pizza","person, pizza","In the outdoor scene, an unknown worker is making pizza.",outdoor scene,unknown,worker,making pizza,strict_match
163,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bottle, bowl, dog, person, spoon",coco,kitchen,coco_494869,"bottle, bowl, dog, person, spoon","bottle, bowl, dog, person, spoon","In the kitchen, an unknown person is preparing food.",kitchen,unknown,person,preparing food,strict_match
164,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bowl, broccoli, fork, knife, person, spoon, tie",coco,kitchen,coco_319221,"bowl, broccoli, fork, knife, person, spoon, tie","bowl, broccoli, fork, knife, person, spoon, tie","In the restaurant, a male server is presenting a tray of food.",restaurant,male,server,presenting a tray of food,strict_match
165,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","banana, bowl, chair, dining table, oven, person, refrigerator, spoon",coco,kitchen,coco_317237,"banana, bowl, chair, dining table, oven, person, refrigerator, spoon","banana, bowl, chair, dining table, oven, person, refrigerator, spoon","In the kitchen, an unknown child is peeling an orange.",kitchen,unknown,child,peeling an orange,strict_match
166,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bottle, bowl, cake, cup, knife, oven, person, refrigerator, sink, spoon",coco,kitchen,coco_570951,"bottle, bowl, cake, cup, knife, oven, person, refrigerator, sink, spoon","bottle, bowl, cake, cup, knife, oven, person, refrigerator, sink, spoon","In the kitchen, an unknown chef is preparing food.",kitchen,unknown,chef,preparing food,strict_match
167,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","cup, donut, person",coco,kitchen,coco_15881,"cup, donut, person","cup, donut, person","In the store, an unknown worker is preparing food.",store,unknown,worker,preparing food,strict_match
168,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bottle, bowl, broccoli, person, refrigerator",coco,kitchen,coco_520637,"bottle, bowl, broccoli, person, refrigerator","bottle, bowl, broccoli, person, refrigerator","In the kitchen, an unknown child is looking inside a refrigerator.",kitchen,unknown,child,looking inside a refrigerator,strict_match
169,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","book, bowl, chair, dining table, handbag, microwave, oven, person, refrigerator, sink",coco,kitchen,coco_353317,"book, bowl, chair, dining table, handbag, microwave, oven, person, refrigerator, sink","book, bowl, chair, dining table, handbag, microwave, oven, person, refrigerator, sink","""In the kitchen, an unknown person is standing.""",kitchen,unknown,person,standing,loose_match
170,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","banana, bottle, bowl, cup, oven, person, sink, spoon",coco,kitchen,coco_506988,"banana, bottle, bowl, cup, oven, person, sink, spoon","banana, bottle, bowl, cup, oven, person, sink, spoon","In the kitchen, an unknown child is sitting on the counter.",kitchen,unknown,child,sitting on the counter,strict_match
171,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","cake, cup, person, pizza, refrigerator",coco,kitchen,coco_95100,"cake, cup, person, pizza, refrigerator","cake, cup, person, pizza, refrigerator","In the kitchen, an unknown unknown is looking at a pizza.",kitchen,unknown,unknown,looking at a pizza,strict_match
172,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bottle, person, pizza",coco,kitchen,coco_316862,"bottle, person, pizza","bottle, person, pizza","In the unknown, an unknown unknown is displaying pizzas.",unknown,unknown,unknown,displaying pizzas,strict_match
173,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","cup, dining table, fork, knife, person, pizza",coco,kitchen,coco_539941,"cup, dining table, fork, knife, person, pizza","cup, dining table, fork, knife, person, pizza","In the restaurant, an unknown unknown is eating pizza.",restaurant,unknown,unknown,eating pizza,strict_match
174,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","chair, dining table, knife, person, pizza, spoon, wine glass",coco,kitchen,coco_285891,"chair, dining table, knife, person, pizza, spoon, wine glass","chair, dining table, knife, person, pizza, spoon, wine glass","In the restaurant, an unknown person is holding a pizza.",restaurant,unknown,person,holding a pizza,strict_match
175,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bottle, cup, person, sink, vase",coco,kitchen,coco_415602,"bottle, cup, person, sink, vase","bottle, cup, person, sink, vase","In the bathroom, an unknown unknown is taking a photo.",bathroom,unknown,unknown,taking a photo,strict_match
176,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","banana, book, bottle, bowl, cell phone, person",coco,kitchen,coco_39099,"banana, book, bottle, bowl, cell phone, person","banana, book, bottle, bowl, cell phone, person","In the market, an unknown vendor is sitting.",market,unknown,vendor,sitting,strict_match
177,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","clock, oven, person, refrigerator, sink",coco,kitchen,coco_515750,"clock, oven, person, refrigerator, sink","clock, oven, person, refrigerator, sink","""In the kitchen, an unknown person is roasting marshmallows over a stove burner.""",kitchen,unknown,person,roasting marshmallows over a stove burner,loose_match
178,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","chair, cup, dining table, oven, person, refrigerator",coco,kitchen,coco_399879,"chair, cup, dining table, oven, person, refrigerator","chair, cup, dining table, oven, person, refrigerator","""In the kitchen, an unknown person is cooking.""",kitchen,unknown,person,cooking,loose_match
179,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","donut, person",coco,kitchen,coco_419379,"donut, person","donut, person","In the unknown scene, an unknown unknown is unknown.",unknown scene,unknown,unknown,unknown,strict_match
180,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bottle, cup, knife, person, refrigerator",coco,kitchen,coco_274556,"bottle, cup, knife, person, refrigerator","bottle, cup, knife, person, refrigerator","In the kitchen, an unknown person is looking inside a refrigerator.",kitchen,unknown,person,looking inside a refrigerator,strict_match
181,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","apple, bowl, cake, clock, orange, oven, person, refrigerator, sandwich",coco,kitchen,coco_350009,"apple, bowl, cake, clock, orange, oven, person, refrigerator, sandwich","apple, bowl, cake, clock, orange, oven, person, refrigerator, sandwich","""In the kitchen, an unknown worker is preparing food.""",kitchen,unknown,worker,preparing food,loose_match
182,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","knife, person",coco,kitchen,coco_23450,"knife, person","knife, person","In the kitchen, a male cook is preparing food.",kitchen,male,cook,preparing food,strict_match
183,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","person, sink, toilet, toothbrush",coco,kitchen,coco_193405,"person, sink, toilet, toothbrush","person, sink, toilet, toothbrush","""In the bathroom, an unknown child is standing.""",bathroom,unknown,child,standing,loose_match
184,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","cake, dining table, oven, person",coco,kitchen,coco_557896,"cake, dining table, oven, person","cake, dining table, oven, person","In the kitchen, an unknown child is baking.",kitchen,unknown,child,baking,strict_match
185,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bottle, bowl, cup, dining table, fork, knife, microwave, person, sink",coco,kitchen,coco_265010,"bottle, bowl, cup, dining table, fork, knife, microwave, person, sink","bottle, bowl, cup, dining table, fork, knife, microwave, person, sink","In the kitchen, a male chef is cooking.",kitchen,male,chef,cooking,strict_match
186,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bottle, person, refrigerator",coco,kitchen,coco_306305,"bottle, person, refrigerator","bottle, person, refrigerator","""In the store, an unknown customer is browsing.""",store,unknown,customer,browsing,loose_match
187,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","person, sink",coco,kitchen,coco_47418,"person, sink","person, sink","In the bathroom, an unknown person is taking a photo.",bathroom,unknown,person,taking a photo,strict_match
188,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bowl, microwave, person, spoon",coco,kitchen,coco_220347,"bowl, microwave, person, spoon","bowl, microwave, person, spoon","In the kitchen, an unknown person is cooking.",kitchen,unknown,person,cooking,strict_match
189,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bottle, bowl, dining table, knife, person, refrigerator",coco,kitchen,coco_248419,"bottle, bowl, dining table, knife, person, refrigerator","bottle, bowl, dining table, knife, person, refrigerator","""In the kitchen, an unknown child is playing.""",kitchen,unknown,child,playing,loose_match
190,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bottle, bowl, chair, cup, dining table, handbag, microwave, oven, person, potted plant, sink",coco,kitchen,coco_322405,"bottle, bowl, chair, cup, dining table, handbag, microwave, oven, person, potted plant, sink","bottle, bowl, chair, cup, dining table, handbag, microwave, oven, person, potted plant, sink","In the kitchen, an unknown person is walking.",kitchen,unknown,person,walking,strict_match
191,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bottle, bowl, microwave, oven, person, potted plant, refrigerator, sink, spoon",coco,kitchen,coco_530832,"bottle, bowl, microwave, oven, person, potted plant, refrigerator, sink, spoon","bottle, bowl, microwave, oven, person, potted plant, refrigerator, sink, spoon","In the kitchen, an unknown person is cooking.",kitchen,unknown,person,cooking,strict_match
192,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bottle, dining table, person, wine glass",coco,kitchen,coco_140935,"bottle, dining table, person, wine glass","bottle, dining table, person, wine glass","""In the winery, an unknown couple is holding wine glasses.""",winery,unknown,couple,holding wine glasses,loose_match
193,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","person, teddy bear",coco,kitchen,coco_492465,"person, teddy bear","person, teddy bear","In the store, an unknown person is holding a stuffed toy.",store,unknown,person,holding a stuffed toy,strict_match
194,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bowl, cat, cup, microwave, person, sink",coco,kitchen,coco_290868,"bowl, cat, cup, microwave, person, sink","bowl, cat, cup, microwave, person, sink","""In the kitchen, an unknown adult is standing while an unknown child is playing.""",kitchen,unknown,adult,standing while an unknown child is playing,loose_match
195,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bottle, clock, cup, person",coco,kitchen,coco_106504,"bottle, clock, cup, person","bottle, clock, cup, person","""In the market, a male vendor is blending.""",market,male,vendor,blending,loose_match
196,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","chair, clock, cup, dining table, oven, person, suitcase",coco,kitchen,coco_578250,"chair, clock, cup, dining table, oven, person, suitcase","chair, clock, cup, dining table, oven, person, suitcase","""In the kitchen, a female unknown is cooking.""",kitchen,female,unknown,cooking,loose_match
197,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","cup, dining table, knife, person, pizza",coco,kitchen,coco_538859,"cup, dining table, knife, person, pizza","cup, dining table, knife, person, pizza","In the kitchen, an unknown worker is cutting pizza.",kitchen,unknown,worker,cutting pizza,strict_match
198,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bowl, cup, dining table, oven, person",coco,kitchen,coco_253579,"bowl, cup, dining table, oven, person","bowl, cup, dining table, oven, person","In the kitchen, an unknown unknown is boiling water.",kitchen,unknown,unknown,boiling water,strict_match
