index,question,answer,source,scene,orig_uid,core_gt_objects,extended_gt_objects,prediction,pred_gender_forced,gender_parse_status
253,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","book, bowl, dining table, person, suitcase",coco,school,coco_473433,"book, bowl, dining table, person, suitcase","book, bowl, dining table, person, suitcase","Gender: unknown

The image shows an open suitcase placed on a wooden surface near a window with frosted glass panes. Inside the suitcase, there is an open book displaying a black-and-white photograph of a person standing outdoors in a snowy landscape. The person's face is obscured. In front of the book, there are two bowls: one is brown with a white floral pattern, and the other is yellow. The suitcase has a handle and metal clasps, and there is a small leather strap hanging from the side. The overall scene is well-lit, with natural light coming through the window.",unknown,strict_match
254,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","cell phone, person, tie",coco,school,coco_134169,"cell phone, person, tie","cell phone, person, tie","Gender: male

The image shows a man in a suit and tie standing next to a young girl who is presenting a project. The man is looking at the project materials laid out on a table. The girl is wearing a black outfit and has a name tag on her chest. Behind them, there is a banner that reads ""Brooklyn School."" The table has several items on it, including a tri-fold display board with various papers and decorations, a smartphone, and some printed documents. The setting appears to be indoors, possibly in a school or a government building, given the formal attire and the presence of the Connecticut Senate Democrats logo in the bottom left corner.",male,strict_match
255,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","book, chair, person, remote, tv",coco,school,coco_410409,"book, chair, person, remote, tv","book, chair, person, remote, tv","Gender: male

The image depicts a classroom setting with several students seated at desks. The most visually salient person is a male student sitting in the center of the image, facing away from the camera. He has his arms raised in the air, possibly in celebration or excitement. He is holding a remote control in one hand. 

In front of him, there is a large screen displaying a video game or simulation with multiple scenes, including buildings and characters. The screen is mounted on a green chalkboard, which has some writing on it, though the text is not clearly legible. 

Around the male student, there are other students seated at desks, facing the screen. Some of them are writing or drawing, and one student has a pencil in hand. On the desks, there are various objects including notebooks, textbooks, and a container with colored pencils. 

The classroom walls have some decorations, including posters and a garland of autumn leaves. The overall atmosphere suggests an interactive or engaging activity, likely related to the content displayed on the screen.",male,strict_match
256,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","bench, book, handbag, person",coco,school,coco_313397,"bench, book, handbag, person","bench, book, handbag, person","Gender: female

The image depicts a person sitting on a bench with the word ""Wynyard"" written on it. The person appears to be reading a book and has a handbag placed on their lap. There is a newspaper on the bench next to them. In the background, there are two other individuals, one of whom has their arm around the other. The setting appears to be indoors, possibly in a train station or similar public area, as suggested by the tiled floor and the metallic wall behind the bench. The image is in black and white.",female,strict_match
257,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","book, chair, clock, keyboard, laptop, person, potted plant, tv",coco,school,coco_451513,"book, chair, clock, keyboard, laptop, person, potted plant, tv","book, chair, clock, keyboard, laptop, person, potted plant, tv","Gender: unknown

The image depicts a classroom filled with students. Each student is seated at a desk, and most of them are using small green and white laptops. The desks are arranged in rows, and the students appear to be engaged in their work. The classroom has various educational posters and decorations on the walls, including a world map and other instructional materials. There are several plants placed around the room, adding a touch of greenery. A clock is visible on the wall, and there are windows that allow natural light to enter the room. The overall atmosphere seems to be one of focused learning and activity.",unknown,strict_match
258,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","book, person, sports ball",coco,school,coco_87328,"book, person, sports ball","book, person, sports ball","Gender: unknown

The image shows a person sitting on a red cushion. They are wearing a plaid shirt with rolled-up sleeves, a blue scarf, and shorts. The person is holding a clipboard and appears to be writing or drawing on it. Next to them, there is a metallic soccer ball. The background is plain white.",unknown,strict_match
259,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","book, chair, person, tie",coco,school,coco_346084,"book, chair, person, tie","book, chair, person, tie","Gender: female

The image shows a female standing in a room filled with bookshelves. She has long, straight hair and is wearing a white short-sleeved shirt, a black skirt, black tights, and black socks. She is holding a long red object, possibly a tie or a ribbon, with her right hand. Behind her, there is a wooden door. To her left, there is a pink backpack with a floral pattern, which is placed on a small stroller. The bookshelves are filled with a variety of books, and one of the visible titles is ""GARDEN MANUAL."" The floor is wooden, and there is a wooden chair with a light-colored cushion partially visible in the foreground.",female,strict_match
260,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","book, couch, dog, person",coco,school,coco_422782,"book, couch, dog, person","book, couch, dog, person","Gender: female

The image shows two women sitting on a dark leather couch. The woman on the left is holding and looking at a magazine or catalog, which has various images and text on it. She is wearing glasses and a necklace, and her hair is short and blonde. The woman on the right is wearing a gray turtleneck sweater and has her hands resting on her lap. Her hair is also blonde and shoulder-length. There is a white dog lying on the couch next to the woman on the right, partially covered by a red blanket. The background wall is painted in a teal color.",female,strict_match
261,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","dog, person, sports ball, umbrella",coco,school,coco_170292,"dog, person, sports ball, umbrella","dog, person, sports ball, umbrella","Gender: male

The image depicts a group of American football players in action on a grassy field. The most visually salient person is a male player in a white jersey with blue accents, holding a football and attempting to advance forward. He is being tackled by a player in a blue jersey with white accents, who is reaching out with both arms to stop him. Another player in a blue jersey is also attempting to tackle the player with the ball from the side. 

In the background, there are more players visible, some wearing white jerseys and others in blue. A player in a white jersey is lying on the ground, possibly having been tackled. The scene appears to be taking place during a game, as there are spectators and a tent visible in the background. The weather seems to be rainy, as indicated by the wet field and the players' wet uniforms. The image captures the intensity and physicality of the sport.",male,strict_match
262,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","handbag, person, tie",coco,school,coco_351991,"handbag, person, tie","handbag, person, tie","Gender: unknown

The image shows a person standing indoors against a white wall with a red trim. The individual is wearing a school uniform consisting of a blue blazer with a school crest on the left chest, a white shirt, and a striped tie in blue, red, and white. They are also wearing a grey pleated skirt and black loafers. The person is holding a black handbag in their left hand. The background is plain, with no additional objects or decorations visible.",unknown,strict_match
263,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","cell phone, handbag, parking meter, person",coco,school,coco_177860,"cell phone, handbag, parking meter, person","cell phone, handbag, parking meter, person","Gender: male

The image shows a snowy scene with a man in the background. He is walking and appears to be using a smartphone. The foreground is dominated by two parking meters, which are heavily covered in snow. The snow on the parking meters creates a frame around the man. The ground is also covered in snow, and there is a building with windows in the background. The overall atmosphere suggests a cold, winter day.",male,strict_match
264,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","backpack, person, tie",coco,school,coco_32056,"backpack, person, tie","backpack, person, tie","Gender: male

The image shows a young male standing in a school hallway. He is wearing a maroon sweater vest with a white shirt underneath and a maroon tie. The sweater vest has an embroidered text on the left side that appears to say ""Holy Cross."" He is also carrying a backpack. His right hand is raised, displaying a gesture with three fingers extended. The background is slightly blurred but shows other students in similar uniforms, indicating that this is likely a school setting. The hallway has fluorescent lighting and several doors along the walls.",male,strict_match
265,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","bus, car, person, sports ball, tennis racket",coco,school,coco_398287,"bus, car, person, sports ball, tennis racket","bus, car, person, sports ball, tennis racket","Gender: male

The image depicts a man playing tennis on an outdoor court. He is wearing a light-colored sweatshirt, dark pants, and sneakers. He is positioned with his arms raised, seemingly preparing to hit a tennis ball that is visible in the air above him. The court is enclosed by a chain-link fence. Behind the fence, there is a school bus parked, along with several cars. In the background, there are trees and a building, suggesting a suburban or rural setting. The sky appears to be clear, indicating a sunny day.",male,strict_match
266,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","bench, book, couch, handbag, person, tie",coco,school,coco_381633,"bench, book, couch, handbag, person, tie","bench, book, couch, handbag, person, tie","Gender: male

The image shows a man sitting on a red bench. He is wearing a dark blue suit with a white shirt and a dark tie. His shoes are black, and he is also wearing dark socks. The man is holding a small notebook or booklet in his hands. There is a black bag placed on the bench to his right. The background appears to be the interior of a vehicle, possibly a train or bus, with wooden paneling on the walls. The floor is gray, and there is a metal pole visible to the left of the man.",male,strict_match
267,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","handbag, person, tie",coco,school,coco_228300,"handbag, person, tie","handbag, person, tie","Gender: male

The image shows a group of six boys sitting on a stone wall in an outdoor setting, likely in a rural or countryside area. The boys are dressed in various types of clothing, including jackets, sweaters, and trousers. The boy on the far left is holding a bag, while the boy on the far right is holding a small object, possibly a toy or a piece of fruit. The background features a scenic view of fields and hills, indicating a natural landscape. The boys appear to be enjoying a moment of rest or leisure, with some of them having their arms around each other. The overall atmosphere of the image is casual and relaxed.",male,strict_match
268,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","book, bottle, chair, person, sink, toothbrush",coco,school,coco_325057,"book, bottle, chair, person, sink, toothbrush","book, bottle, chair, person, sink, toothbrush","Gender: female

The image depicts a bathroom scene with a young woman sitting on a chair. She is wearing a light-colored dress and has long hair. She is reading a book while soaking her feet in a small bathtub or foot bath. The bathroom has a pedestal sink with a mirror above it. There are two wall-mounted light fixtures on either side of the mirror. A towel or robe is hanging on a hook on the wall. There is a small rug on the floor, and a pair of shoes is placed nearby. The overall setting has a vintage or old-fashioned feel, with a decorative border around the image.",female,strict_match
269,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","person, tie",coco,school,coco_275717,"person, tie","person, tie","Gender: female

The image is a black and white photograph of a person with their face blurred out. The individual has short, wavy hair that is styled neatly. They are wearing a collared shirt with a tie, and over it, a dark-colored vest or sweater. The background appears to be plain and without any distinct features, suggesting it might be a studio or school portrait. The overall attire and style suggest a formal or school setting.",female,strict_match
270,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","backpack, banana, handbag, person, umbrella",coco,school,coco_327055,"backpack, banana, handbag, person, umbrella","backpack, banana, handbag, person, umbrella","Gender: male

The image shows a group of people gathered in a park. The most visually salient person is a male standing on the left side, holding a cardboard sign that reads ""MEDITATION ASSEMBLY HERE"" with a heart symbol. He is wearing a dark jacket, a plaid shirt, and jeans. Next to him, another male is holding a yellow umbrella, wearing a brown hat, a brown shirt, and black shorts. A third male, sitting on the ground, is wearing a blue beanie, a dark jacket, and jeans, and appears to be playing a guitar or another stringed instrument. In the background, there are trees with green leaves, and other people can be seen walking or standing around. The scene appears to be in a public park or an open green space.",male,strict_match
271,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","boat, book, person",coco,school,coco_243882,"boat, book, person","boat, book, person","Gender: unknown

The image shows a person holding an open book, reading. The book is written in German. In the background, there are several people sitting and standing on what appears to be a boat or a deck with a view of the sea. The background is slightly out of focus, emphasizing the book in the foreground. The people in the background are blurred, making their faces indistinguishable. The scene suggests a relaxed, leisurely setting, possibly during a vacation or a casual outing. The lighting indicates it might be late afternoon or early evening, with the sun casting a warm glow.",unknown,strict_match
272,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","backpack, person, skis",coco,school,coco_577907,"backpack, person, skis","backpack, person, skis","Gender: unknown

The image shows two individuals standing on a snowy ski slope, both equipped with ski gear. The person on the left is wearing a red and black jacket, black pants, and black gloves. They have a ski pass or identification card attached to their jacket. The person on the right is dressed in a light gray jacket, dark gray pants, and a striped beanie. Both individuals are holding ski poles and wearing skis. The background features a snow-covered mountain landscape with scattered evergreen trees and a ski lift visible in the distance. The sky is clear with some clouds, indicating a bright and sunny day.",unknown,strict_match
273,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","person, tie",coco,school,coco_250282,"person, tie","person, tie","Gender: unknown

The image depicts a large group of children and a few adults, likely a school class photo taken outdoors. The group is arranged in several rows, with some children seated on the ground, others seated on chairs, and the rest standing. The children are dressed in a variety of clothing styles typical of an earlier era, possibly mid-20th century. The boys are wearing shorts, trousers, shirts, and some are in jackets, while the girls are in dresses or skirts with blouses. 

In the background, there is a brick building with multiple windows, suggesting a school or institutional setting. The ground appears to be paved, and there are no visible trees or greenery in the immediate vicinity. The overall atmosphere is formal, as is typical for school photographs.",unknown,strict_match
274,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","bottle, chair, clock, dining table, person, remote",coco,school,coco_337814,"bottle, chair, clock, dining table, person, remote","bottle, chair, clock, dining table, person, remote","Gender: female

The image shows a person, likely female, in the foreground who appears to be engaged in an activity, possibly dancing or playing a game. She is wearing a white shirt and dark jeans, and her face is blurred. In the background, there are two other individuals, one of whom is also engaged in the same activity. The room has a green wall, a whiteboard, a clock, and several chairs arranged along the wall. There are also some items on the table, including what looks like a bottle and some cups. The overall setting appears to be a casual or recreational environment, possibly an office or a meeting room.",female,strict_match
275,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","person, skis, snowboard",coco,school,coco_165611,"person, skis, snowboard","person, skis, snowboard","Gender: unknown

The image depicts a snowy ski slope with several children and an adult. The children are wearing colorful ski outfits, helmets, and goggles. They are standing on a conveyor belt, likely a ski lift for beginners. The adult, who appears to be an instructor, is wearing a dark jacket with the word ""INSTRUCTOR"" on the back and light blue pants. The background shows more skiers and snowboarders, as well as some fencing and ski equipment. The sky is clear, and the overall scene is bright and sunny.",unknown,strict_match
276,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","book, chair, dining table, person, remote, tv",coco,school,coco_86790,"book, chair, dining table, person, remote, tv","book, chair, dining table, person, remote, tv","Gender: unknown

The image depicts a group of children in a room, likely participating in a video game activity. There are four children standing in the foreground, each holding a white game controller. They appear to be engaged with a game projected on a screen on the right side of the image. The screen shows colorful graphics, possibly from a video game.

In the background, there are three children sitting on chairs, watching the game. One of the seated children is wearing a blue shirt and white socks, while another is wearing a pink shirt and shorts. The third seated child is partially obscured.

A woman, possibly a supervisor or instructor, stands near the seated children. She is wearing a red shirt and a name tag.

The room has beige walls and a carpeted floor. There is a table on the right side of the image, near the screen, and a bookshelf in the background, indicating that the setting might be a library or a community center.",unknown,strict_match
277,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","bottle, bowl, cell phone, chair, cup, dining table, hot dog, person, sandwich, spoon",coco,school,coco_559247,"bottle, bowl, cell phone, chair, cup, dining table, hot dog, person, sandwich, spoon","bottle, bowl, cell phone, chair, cup, dining table, hot dog, person, sandwich, spoon","Gender: male

The image depicts a group of people in a room, likely participating in a communal meal or event. The most visually salient person is a male standing at the end of a table, serving food from a pot. He is wearing a patterned shirt and a beige cap. 

Other visible objects and details include:
- Several people standing in line, holding plates and waiting to be served.
- A table covered with various food items, including loaves of bread, hot dog buns, mustard, and other condiments.
- A blue bowl and a jar of what appears to be pickles or relish on the table.
- Chairs around the table, some of which are occupied.
- A high chair in the background, suggesting the presence of a young child.
- The room has white walls and a ceiling with fluorescent lights.
- There is a potted plant in the corner of the room.",male,strict_match
278,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","book, chair, person, surfboard",coco,school,coco_313608,"book, chair, person, surfboard","book, chair, person, surfboard","Gender: male

The image shows a person surfing on a wave in the ocean. The surfer is wearing a dark wetsuit and is in the middle of performing a maneuver on the surfboard, with water splashing around them. In the foreground, there are two people sitting on beach chairs. One person, with short hair, is reading a book, and the other person, with longer hair, is facing the ocean, watching the surfer. The scene is in black and white, and the overall setting appears to be a beach with the ocean in the background.",male,strict_match
279,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","book, person, toilet",coco,school,coco_167968,"book, person, toilet","book, person, toilet","Gender: unknown

The image shows a young child sitting on a toilet in a bathroom. The child is holding and looking at an open book. The child is partially undressed, with pants and underwear around their ankles. The bathroom features a bathtub with a soap holder on the wall, and a wooden cabinet is visible to the right of the child. The image is in black and white.",unknown,strict_match
280,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","book, person, umbrella",coco,school,coco_180071,"book, person, umbrella","book, person, umbrella","Gender: male

The image shows a man floating in a large body of water, likely a lake or sea. He is lying on his back, with his legs and feet partially submerged. The man is holding an open book in his hands, reading it while floating. He is also holding a black umbrella above his head, providing shade. The background features a distant, arid landscape with hills or mountains. The sky is clear, and the overall scene appears calm and serene. The water is still, with gentle ripples around the man.",male,strict_match
281,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","banana, person",coco,school,coco_147782,"banana, person","banana, person","Gender: unknown

The image is a book cover with a black background. In the center, there are two pale hands holding a ripe, slightly bruised banana. The hands are positioned in a way that they are gently cradling the banana. At the top of the cover, the word ""crepúsculo"" is written in a stylized font. At the bottom, the author's name, ""Stephenie Meyer,"" is displayed in white capital letters. The overall design is minimalist, with the focus on the hands and the banana.",unknown,strict_match
282,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","book, person, suitcase",coco,school,coco_172617,"book, person, suitcase","book, person, suitcase","Gender: female

The image shows a person sitting on a curb, wearing a patterned dress and black shoes. The person is holding a book in their hands. Next to them on the ground is an open suitcase filled with several books. The books are stacked and some titles are visible. The setting appears to be outdoors, possibly on a sidewalk or a street. The person’s legs are crossed, and they are wearing light-colored stockings. The overall scene gives a vintage or retro vibe.",female,strict_match
283,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","person, skateboard",coco,school,coco_150649,"person, skateboard","person, skateboard","Gender: male

The image shows a sequence of a male skateboarder performing a trick in a skatepark bowl. The sequence captures five different positions of the skateboarder as he moves along the edge of the bowl. The skateboarder is wearing a dark outfit, which includes a dark jacket and pants, and a light blue shirt underneath. He is also wearing black shoes.

The bowl itself is covered in various graffiti and artwork. There is a large drawing of a bull's head in the center of the bowl, surrounded by other colorful graffiti and tags. The background features a grassy area with some trees and industrial structures, including power lines and what appears to be a factory or plant. The sky is overcast, giving the scene a somewhat gloomy atmosphere.",male,strict_match
284,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","book, person",coco,school,coco_231632,"book, person","book, person","Gender: unknown

The image depicts an indoor space that appears to be a library or a bookstore. There is a wooden staircase with metal railings leading up to a higher level. On the staircase, there is a jacket or coat draped over the railing. 

To the left of the staircase, there are shelves filled with books and other reading materials. Some of the books have colorful covers. There is also a folding chair positioned near the shelves.

On the upper level, there are more shelves with books and a few decorative items, including a small triangular sign and a few other objects that are not clearly identifiable. The upper level has a bright yellow section that stands out.

The ceiling has several cylindrical light fixtures, and the space is well-lit with natural light coming through the windows. The overall atmosphere is modern and organized.",unknown,strict_match
285,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","backpack, person, snowboard",coco,school,coco_39778,"backpack, person, snowboard","backpack, person, snowboard","Gender: unknown

The image shows a person snowboarding down a snowy slope. The individual is wearing a red jacket, black pants, black gloves, and a black beanie with a white stripe. The snowboarder is in motion, with snow being kicked up behind the board. In the background, there are several trees with brown leaves and a stone wall partially covered in snow. The scene appears to be in a wooded area during winter.",unknown,strict_match
286,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","bed, book, person",coco,school,coco_578924,"bed, book, person","bed, book, person","Gender: unknown

The image shows a child sitting on a bed or a soft surface, holding an open picture book. The child is wearing a striped long-sleeve shirt and pants. The book is colorful and features various illustrations, including a rainbow, animals, and a winding path. The child’s hand is resting on the right page of the book. The background includes a quilt or blanket with various patterns and colors, and another blanket or fabric with a dotted pattern. The scene is well-lit, suggesting it is daytime.",unknown,strict_match
287,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","book, chair, cup, dining table, donut, keyboard, mouse, person, tv",coco,school,coco_335855,"book, chair, cup, dining table, donut, keyboard, mouse, person, tv","book, chair, cup, dining table, donut, keyboard, mouse, person, tv","Gender: female

The image shows a person with a blurred face holding an open box of assorted donuts. The box contains a variety of donuts, including plain, powdered sugar, and possibly glazed donuts. The person is wearing a dark-colored jacket. In the background, there is an office setting with various objects including a computer monitor, a keyboard, papers, and office supplies on a desk. There are also shelves and cabinets along the walls, and the room has white walls with some visible light fixtures on the ceiling.",female,strict_match
288,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","book, dining table, person, tie",coco,school,coco_168022,"book, dining table, person, tie","book, dining table, person, tie","Gender: unknown

The image shows two individuals sitting side by side at a table. Both of their faces are obscured. The person on the left is wearing a suit jacket and a tie with a pattern of keys. The person on the right is wearing a dark jacket over a light-colored shirt and is holding a pen, appearing to write in a large book or document that is open on the table in front of them. The background includes a curtain or drapery, and the setting appears to be indoors, possibly in an office or formal environment.",unknown,strict_match
289,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","handbag, person, tie",coco,school,coco_548583,"handbag, person, tie","handbag, person, tie","Gender: unknown

The image shows a person standing against a plain wall. They are wearing a dark blazer over a white shirt, paired with a striped tie. The person is also wearing a pleated gray skirt and black shoes. They are holding a black bag over their left shoulder. The background is simple, with no additional objects or decorations visible.",unknown,strict_match
290,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","bottle, chair, cup, dining table, fork, person, pizza",coco,school,coco_280083,"bottle, chair, cup, dining table, fork, person, pizza","bottle, chair, cup, dining table, fork, person, pizza","Gender: female

The image shows a young girl sitting at a desk. She is wearing a white shirt with a crest on the left side. Her hair is styled in two pigtails with green hair ties. In front of her, there is a colorful plate with food, and she is holding a fork. There is a purple drink in a clear cup and a bottle with a green label on the desk. The background includes another desk with a white cup, a colorful bag, and a wall with a handprint decoration. There is also a white bucket visible in the background.",female,strict_match
291,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","backpack, person, remote",coco,school,coco_358399,"backpack, person, remote","backpack, person, remote","Gender: male

The image shows a person with a blurred face, wearing a gray t-shirt, blue jeans, and a black backpack. The individual is holding a black, fuzzy object in their right hand, which appears to be a microphone with a windscreen. They are standing in what seems to be a convention or exhibition hall, as indicated by the booth setup and the presence of another person partially visible in the background. The booth has a display with various items, including a monitor showing an image of a person in an orange shirt. The floor is carpeted, and there are gray walls and a door with a handle in the background. The person in the background is wearing a green skirt and black sandals.",male,strict_match
